% Model,coilgun_constantPM.mph
% Version,COMSOL 5.6.0.401
% Date,"Mar 25 2022, 08:07"
% Table,Table 1 - Total magnetic energy
% projectilePos (m),turns,Total magnetic energy (J)
-0.08,100,4.149349709231363
-0.08,200,4.134651789081238
-0.08,300,4.165854947330401
-0.08,400,4.206611341613705
-0.08,500,4.264004758829472
-0.08,600,4.319015806369897
-0.08,700,4.352342193575794
-0.08,800,4.397427814028019
-0.075,100,4.139794238722751
-0.075,200,4.129178530927358
-0.075,300,4.15670082374563
-0.075,400,4.201692546891101
-0.075,500,4.291096287830505
-0.075,600,4.332065364492731
-0.075,700,4.331052756817186
-0.075,800,4.381667996097605
-0.07,100,4.139721493286621
-0.07,200,4.133798547457462
-0.07,300,4.156604308947328
-0.07,400,4.196078841942013
-0.07,500,4.2575449368228195
-0.07,600,4.300920814310398
-0.07,700,4.336265494116605
-0.07,800,4.381704006095645
-0.065,100,4.127096027712035
-0.065,200,4.1206731940172165
-0.065,300,4.150114752898819
-0.065,400,4.198065448884011
-0.065,500,4.248215596061372
-0.065,600,4.293254179643959
-0.065,700,4.324072282693465
-0.065,800,4.38440347217339
-0.06,100,4.12536672956004
-0.06,200,4.117841185490201
-0.06,300,4.142808222494508
-0.06,400,4.189310849180166
-0.06,500,4.236332769426587
-0.06,600,4.288532635129662
-0.06,700,4.323950646801146
-0.06,800,4.367302139476147
-0.055,100,4.115888318110881
-0.055,200,4.105533489967258
-0.055,300,4.138145610219854
-0.055,400,4.1782703548761155
-0.055,500,4.2596027134885395
-0.055,600,4.302767142958873
-0.055,700,4.360994947737793
-0.055,800,4.425571262072003
-0.05,100,4.104651577817885
-0.05,200,4.096824964154225
-0.05,300,4.152615018772493
-0.05,400,4.199361505668271
-0.05,500,4.280770448765406
-0.05,600,4.351710571747134
-0.05,700,4.401670767641218
-0.05,800,4.466639033785668
-0.045,100,4.104607017512129
-0.045,200,4.12290702387828
-0.045,300,4.190196016616074
-0.045,400,4.255718336461429
-0.045,500,4.334655622838107
-0.045,600,4.403085339198495
-0.045,700,4.471775748147047
-0.045,800,4.539903634759781
-0.04,100,4.159722920286233
-0.04,200,4.184750894902762
-0.04,300,4.263185513628967
-0.04,400,4.360946177663513
-0.04,500,4.443397521279934
-0.04,600,4.517188395467483
-0.04,700,4.594375849657429
-0.04,800,4.665644527902704
-0.035,100,4.26271456423865
-0.035,200,4.349419257433306
-0.035,300,4.445823525636307
-0.035,400,4.534190519795914
-0.035,500,4.618624620077474
-0.035,600,4.697644331946245
-0.035,700,4.7676766160271375
-0.035,800,4.841901100576389
-0.03,100,4.535783458361908
-0.03,200,4.6124081691241665
-0.03,300,4.696126619329651
-0.03,400,4.780653193884031
-0.03,500,4.860187961244887
-0.03,600,4.929469460638669
-0.03,700,5.001139201337103
-0.03,800,5.064682001782384
-0.025,100,4.899044433402224
-0.025,200,4.940970249697631
-0.025,300,4.999700757584728
-0.025,400,5.064598775689906
-0.025,500,5.128940305106323
-0.025,600,5.1908199690446395
-0.025,700,5.24828192565598
-0.025,800,5.304578259846985
-0.020000000000000004,100,5.2581714022838755
-0.020000000000000004,200,5.268711064420856
-0.020000000000000004,300,5.306177336266077
-0.020000000000000004,400,5.353625405360178
-0.020000000000000004,500,5.403401735329515
-0.020000000000000004,600,5.450876881841744
-0.020000000000000004,700,5.502191834614746
-0.020000000000000004,800,5.549778422569361
-0.015,100,5.53139094021896
-0.015,200,5.534385868038612
-0.015,300,5.564832757847649
-0.015,400,5.603464053770997
-0.015,500,5.645348017076626
-0.015,600,5.687276560897136
-0.015,700,5.730789145103163
-0.015,800,5.772332228839883
-0.009999999999999995,100,5.641626140986061
-0.009999999999999995,200,5.686832994559669
-0.009999999999999995,300,5.736324313233005
-0.009999999999999995,400,5.782516874102737
-0.009999999999999995,500,5.827126281924531
-0.009999999999999995,600,5.868460904473903
-0.009999999999999995,700,5.910965015958796
-0.009999999999999995,800,5.950845631813563
-0.0050000000000000044,100,5.658190285495889
-0.0050000000000000044,200,5.735338370623718
-0.0050000000000000044,300,5.8133119740331365
-0.0050000000000000044,400,5.878515366269581
-0.0050000000000000044,500,5.93475745777894
-0.0050000000000000044,600,5.983864399845453
-0.0050000000000000044,700,6.0294144068073985
-0.0050000000000000044,800,6.07015021270062
0,100,5.654375195897387
0,200,5.745599799911226
0,300,5.828987542273624
0,400,5.904394990037826
0,500,5.968823879421901
0,600,6.024729624448189
0,700,6.072048821068762
0,800,6.1142685962611685
