Simulated time 1 (ms), Simulated speed 1 (m/s), Simulated current 1 (A),Simulated time 2 (ms), Simulated speed 2 (m/s), Simulated current 2 (A),Simulated time 3 (ms), Simulated speed 3 (m/s), Simulated current 3 (A),Simulated time 4 (ms), Simulated speed 4 (m/s), Simulated current 4 (A),Simulated time 5 (ms), Simulated speed 5 (m/s), Simulated current 5 (A),
0.000000e+00, 0.000000e+00, 0.000000e+00,3.400000e+01, 3.600000e+00, 0.000000e+00,5.381200e+01, 5.800000e+00, 0.000000e+00,6.900000e+01, 7.400000e+00, 0.000000e+00,8.373500e+01, 8.800000e+00, 0.000000e+00,
6.885335e-02, 8.325523e-04, 9.823648e-01,3.404239e+01, 3.600383e+00, 1.251891e+00,5.383679e+01, 5.800130e+00, 1.300212e+00,6.901894e+01, 7.400058e+00, 1.320244e+00,8.374951e+01, 8.800035e+00, 1.332997e+00,
5.569188e-01, 5.072199e-02, 7.130195e+00,3.435366e+01, 3.626641e+00, 9.504599e+00,5.405513e+01, 5.813190e+00, 1.172810e+01,6.920304e+01, 7.407466e+00, 1.307608e+01,8.389462e+01, 8.804805e+00, 1.367464e+01,
1.186464e+00, 2.099211e-01, 1.314388e+01,3.477370e+01, 3.726103e+00, 1.821459e+01,5.436058e+01, 5.871177e+00, 2.341028e+01,6.946552e+01, 7.444583e+00, 2.663005e+01,8.411894e+01, 8.832512e+00, 2.937063e+01,
1.892391e+00, 4.819007e-01, 1.770423e+01,3.525931e+01, 3.925019e+00, 2.524614e+01,5.471510e+01, 6.000853e+00, 3.316695e+01,6.977068e+01, 7.536432e+00, 3.809844e+01,8.438123e+01, 8.905970e+00, 4.294698e+01,
2.651416e+00, 8.485730e-01, 2.051478e+01,3.579674e+01, 4.230586e+00, 2.985711e+01,5.510654e+01, 6.217872e+00, 3.987911e+01,7.010722e+01, 7.703828e+00, 4.611078e+01,8.467052e+01, 9.046060e+00, 5.267402e+01,
3.454029e+00, 1.286573e+00, 2.165326e+01,3.638071e+01, 4.629125e+00, 3.187449e+01,5.552965e+01, 6.519371e+00, 4.322873e+01,7.047011e+01, 7.952789e+00, 5.025214e+01,8.498196e+01, 9.261017e+00, 5.799554e+01,
4.292342e+00, 1.769328e+00, 2.135780e+01,3.700949e+01, 5.083690e+00, 3.146915e+01,5.598301e+01, 6.879633e+00, 4.337283e+01,7.085754e+01, 8.265935e+00, 5.067778e+01,8.531384e+01, 9.537248e+00, 5.903662e+01,
5.156043e+00, 2.266218e+00, 1.995963e+01,3.767877e+01, 5.534596e+00, 2.907747e+01,5.646777e+01, 7.252920e+00, 4.077109e+01,7.127062e+01, 8.603150e+00, 4.790429e+01,8.566726e+01, 9.839401e+00, 5.634124e+01,
6.032625e+00, 2.743893e+00, 1.783395e+01,3.835606e+01, 5.905872e+00, 2.549325e+01,5.698057e+01, 7.582476e+00, 3.613919e+01,7.171185e+01, 8.912684e+00, 4.266685e+01,8.604656e+01, 1.012167e+01, 5.066184e+01,
6.910018e+00, 3.171289e+00, 1.534161e+01,3.899919e+01, 6.158716e+00, 2.165020e+01,5.748190e+01, 7.814757e+00, 3.072869e+01,7.215213e+01, 9.138397e+00, 3.629945e+01,8.643365e+01, 1.033339e+01, 4.332182e+01,
7.777476e+00, 3.525495e+00, 1.278410e+01,3.961043e+01, 6.312963e+00, 1.799486e+01,5.795421e+01, 7.954699e+00, 2.546435e+01,7.256685e+01, 9.274223e+00, 3.004455e+01,8.680082e+01, 1.046101e+01, 3.589829e+01,
8.626897e+00, 3.796740e+00, 1.037792e+01,4.020225e+01, 6.397250e+00, 1.467463e+01,5.840436e+01, 8.031304e+00, 2.065178e+01,7.295976e+01, 9.347932e+00, 2.432764e+01,8.714651e+01, 1.052923e+01, 2.905798e+01,
9.455587e+00, 3.989085e+00, 8.245706e+00,4.078083e+01, 6.434273e+00, 1.175425e+01,5.883663e+01, 8.067897e+00, 1.640909e+01,7.333475e+01, 9.383392e+00, 1.929128e+01,8.747338e+01, 1.056173e+01, 2.302090e+01,
1.026723e+01, 4.115546e+00, 6.431790e+00,4.134658e+01, 6.441021e+00, 9.265483e+00,5.924975e+01, 8.080591e+00, 1.279869e+01,7.369014e+01, 9.396681e+00, 1.501421e+01,8.777935e+01, 1.057419e+01, 1.790355e+01,
1.106985e+01, 4.191752e+00, 4.933330e+00,4.189557e+01, 6.429946e+00, 7.216593e+00,5.959782e+01, 8.080568e+00, 1.013189e+01,7.397433e+01, 9.398358e+00, 1.198529e+01,8.801197e+01, 1.057639e+01, 1.441538e+01,
1.187359e+01, 4.232030e+00, 3.726308e+00,4.241835e+01, 6.410042e+00, 5.598939e+00,5.994588e+01, 8.074578e+00, 7.823240e+00,7.425853e+01, 9.395129e+00, 9.324425e+00,8.823768e+01, 1.057477e+01, 1.138947e+01,
1.269032e+01, 4.247961e+00, 2.779386e+00,4.288992e+01, 6.388176e+00, 4.406491e+00,6.028153e+01, 8.065627e+00, 5.938696e+00,7.455942e+01, 9.388612e+00, 6.917638e+00,8.850584e+01, 1.057000e+01, 8.273048e+00,
1.353593e+01, 4.248143e+00, 2.059511e+00,4.339956e+01, 6.363289e+00, 3.379761e+00,6.066615e+01, 8.053835e+00, 4.183292e+00,7.489589e+01, 9.379701e+00, 4.725336e+00,8.880022e+01, 1.056319e+01, 5.460412e+00,
1.443669e+01, 4.238274e+00, 1.534301e+00,4.396203e+01, 6.336748e+00, 2.523035e+00,6.107380e+01, 8.041584e+00, 2.768819e+00,7.524791e+01, 9.370471e+00, 2.977486e+00,8.910556e+01, 1.055626e+01, 3.207801e+00,
1.536116e+01, 4.222691e+00, 1.196637e+00,4.454314e+01, 6.312114e+00, 1.882377e+00,6.148298e+01, 8.030967e+00, 1.764938e+00,7.559607e+01, 9.362799e+00, 1.756548e+00,8.940441e+01, 1.055095e+01, 1.624939e+00,
1.623422e+01, 4.205274e+00, 1.012507e+00,4.513305e+01, 6.291100e+00, 1.407881e+00,6.188130e+01, 8.022830e+00, 1.123191e+00,7.592897e+01, 9.357395e+00, 9.984573e-01,8.968526e+01, 1.054795e+01, 6.410265e-01,
1.715318e+01, 4.185042e+00, 9.085304e-01,4.574635e+01, 6.274345e+00, 1.010165e+00,6.226968e+01, 8.016911e+00, 7.365543e-01,7.624674e+01, 9.353931e+00, 5.686767e-01,8.994589e+01, 1.054691e+01, 9.237776e-02,
1.815286e+01, 4.161515e+00, 8.447638e-01,4.644019e+01, 6.262554e+00, 5.700120e-01,6.266004e+01, 8.012621e+00, 4.931029e-01,7.655826e+01, 9.351757e+00, 3.334782e-01,9.019066e+01, 1.054712e+01, -1.827949e-01,
1.930837e+01, 4.134299e+00, 7.690560e-01,4.707499e+01, 6.258556e+00, 1.122961e-01,6.308186e+01, 8.009624e+00, 2.818826e-01,7.688272e+01, 9.350408e+00, 1.756757e-01,9.043337e+01, 1.054803e+01, -3.125621e-01,
2.046384e+01, 4.110841e+00, 6.368563e-01,4.770980e+01, 6.259583e+00, -4.032570e-01,6.346594e+01, 8.008492e+00, 4.849039e-02,7.722098e+01, 9.349924e+00, -1.053232e-02,9.071151e+01, 1.054949e+01, -4.019184e-01,
2.161932e+01, 4.095109e+00, 4.224923e-01,4.839225e+01, 6.263147e+00, -9.656034e-01,6.385003e+01, 8.009046e+00, -2.767020e-01,7.755925e+01, 9.350598e+00, -3.103862e-01,9.099131e+01, 1.055129e+01, -5.469502e-01,
2.267178e+01, 4.088717e+00, 1.635552e-01,4.900372e+01, 6.266039e+00, -1.401801e+00,6.422579e+01, 8.011003e+00, -6.917581e-01,7.786452e+01, 9.352252e+00, -7.102337e-01,9.127111e+01, 1.055351e+01, -8.340059e-01,
2.366849e+01, 4.088196e+00, -1.101685e-01,4.961519e+01, 6.267717e+00, -1.714798e+00,6.463495e+01, 8.013908e+00, -1.214609e+00,7.818393e+01, 9.354658e+00, -1.238272e+00,9.153906e+01, 1.055603e+01, -1.266228e+00,
2.461414e+01, 4.090269e+00, -3.626149e-01,5.022650e+01, 6.268403e+00, -1.880033e+00,6.514767e+01, 8.017100e+00, -1.859387e+00,7.855317e+01, 9.357394e+00, -1.903097e+00,9.182118e+01, 1.055876e+01, -1.848751e+00,
2.554939e+01, 4.092745e+00, -5.751662e-01,5.087808e+01, 6.268610e+00, -1.903421e+00,6.563956e+01, 8.018810e+00, -2.336135e+00,7.894185e+01, 9.359359e+00, -2.533105e+00,9.215279e+01, 1.056137e+01, -2.580295e+00,
2.650190e+01, 4.094604e+00, -7.315679e-01,5.159591e+01, 6.268649e+00, -1.787983e+00,6.608581e+01, 8.019415e+00, -2.581872e+00,7.933053e+01, 9.360276e+00, -2.978285e+00,9.248873e+01, 1.056291e+01, -3.214448e+00,
2.750203e+01, 4.095639e+00, -8.204763e-01,5.200000e+01, 6.268652e+00, -1.677935e+00,6.654752e+01, 8.019591e+00, -2.643754e+00,7.971159e+01, 9.360569e+00, -3.190308e+00,9.282467e+01, 1.056354e+01, -3.624440e+00,
2.859361e+01, 4.096063e+00, -8.351077e-01,,,,6.705075e+01, 8.019626e+00, -2.527457e+00,8.011575e+01, 9.360637e+00, -3.188330e+00,9.315941e+01, 1.056372e+01, -3.775531e+00,
2.972766e+01, 4.096176e+00, -7.801867e-01,,,,6.759040e+01, 8.019630e+00, -2.256473e+00,8.055817e+01, 9.360647e+00, -2.979303e+00,9.351707e+01, 1.056376e+01, -3.684966e+00,
3.075860e+01, 4.096194e+00, -6.911113e-01,,,,6.800000e+01, 8.019630e+00, -1.991618e+00,8.102188e+01, 9.360647e+00, -2.609459e+00,9.390708e+01, 1.056376e+01, -3.366657e+00,
3.172455e+01, 4.096197e+00, -5.909525e-01,,,,,,,8.146540e+01, 9.360647e+00, -2.180822e+00,9.430729e+01, 1.056376e+01, -2.892745e+00,
3.266171e+01, 4.096198e+00, -4.897492e-01,,,,,,,8.188022e+01, 9.360647e+00, -1.760589e+00,9.468691e+01, 1.056376e+01, -2.378324e+00,
3.300000e+01, 4.096198e+00, -4.538055e-01,,,,,,,8.226948e+01, 9.360647e+00, -1.377800e+00,9.503982e+01, 1.056376e+01, -1.891050e+00,
,,,,,,,,,8.263552e+01, 9.360647e+00, -1.044461e+00,9.536820e+01, 1.056376e+01, -1.457945e+00,
,,,,,,,,,8.297803e+01, 9.360647e+00, -7.646472e-01,9.567301e+01, 1.056376e+01, -1.089007e+00,
,,,,,,,,,8.300000e+01, 9.360647e+00, -7.478812e-01,9.596265e+01, 1.056376e+01, -7.762887e-01,
,,,,,,,,,,,,9.627741e+01, 1.056376e+01, -4.831786e-01,
,,,,,,,,,,,,9.661007e+01, 1.056376e+01, -2.281602e-01,
,,,,,,,,,,,,9.695580e+01, 1.056376e+01, -2.131653e-02,
,,,,,,,,,,,,9.731042e+01, 1.056376e+01, 1.337847e-01,
,,,,,,,,,,,,9.767777e+01, 1.056376e+01, 2.407678e-01,
,,,,,,,,,,,,9.807073e+01, 1.056376e+01, 3.046637e-01,
,,,,,,,,,,,,9.849294e+01, 1.056376e+01, 3.277119e-01,
,,,,,,,,,,,,9.894804e+01, 1.056376e+01, 3.146330e-01,
,,,,,,,,,,,,9.942462e+01, 1.056376e+01, 2.743963e-01,
,,,,,,,,,,,,9.989007e+01, 1.056376e+01, 2.218744e-01,
,,,,,,,,,,,,1.000000e+02, 1.056376e+01, 2.086870e-01,
,,,,,,,,,,,,,,,
